Prefecture,Food,Rice,White.bread,Other.bread,Non.dried..Udon...Soba.,Dried..Udon...Soba.,Pasta,Chinese.noodles,Cup.noodles,Instant.noodles,Other.noodles,Wheat.flour,X.Mochi...rice.cakes,Other.in..Other.cereals.,Tuna.fish,Horse.mackerel,Sardines,Bonito,Flounder,Salmon,Mackerel,Saury,Sea.bream,Yellowtail,Cuttlefish,Octopus,Shrimps...lobsters,Crabs,Other.raw.fish,X.Sashimi...mixed.set,Short.necked.clams,Fresh.water.clams,Oysters,Scallops,Other.shellfish,Salted.salmon,Salted.pollock.roe,X.Shirasu.boshi...dried.young.sardines,Dried.horse.mackerel,Other.salted...dried.fish,X.Agekamaboko...fried.fish.paste.patties,X.Chikuwa...baked.fish.paste.bars,X.Kamaboko...steamed.fish.paste.cakes,Other.fish.paste.products,Bonito.fillets...fish.flakes..dried,Pickled.fish,Fish.prepared.in.soy.sauce,Canned.fish,Other.in..Other.processed.fish.,Beef,Pork,Chicken,Mixed.ground.meat,Other.raw.meat,Ham,Sausages,Bacon,Other.processed.meat,Fresh.milk,Powdered.milk,Yogurt,Butter,Cheese,Other.dairy.products,Eggs,Cabbage,Spinach,Chinese.cabbage,Welsh.onions,Lettuce,Broccoli,Bean.sprouts,Other.leafy.vegetables,Sweet.potatoes,White.potatoes,Taros,Radishes,Carrots,Burdocks,Onions,Lotus.roots,Bamboo.shoots,Other.root.vegetables,String.beans,Pumpkins,Cucumbers,Eggplants,Tomatoes,Green.peppers,X.Shiitake...Japanese.mushrooms..fresh,X.Shimeji...mushrooms,X.Enokitake...mushrooms,Other.mushrooms,Other.in..Other.vegetables.,Beans,X.Shiitake...Japanese.mushrooms..dried,Dried.laver,X.Wakame...seaweed,Dried.tangle,Other.dried.vegetables...seaweeds,Bean.curd,Fried.bean.curd,X.Natto...fermented.soybeans,Other.soybean.products,X.Konnyaku...devil.s.tongue.jelly,X.Umeboshi...pickled.plums,Pickled.radishes,Pickled.chinese.cabbage,Other.pickled.vegetables,Tangle.prepared.in.soy.sauce,Other.vegetables...seaweeds.prepared.in.soy.sauce,Other.in..Other.processed.vegetables...seaweeds.,Apples,Mandarin.oranges,Oranges,Other.citrus.fruits,Pears,Grapes,Persimmons,Peaches,Watermelons,Melons,Strawberries,Bananas,Kiwi.fruits,Other.fruits,Processed.fruits,Edible.oil,Margarine,Salt,Soy.sauce,X.Miso...soybean.paste,Sugar,Vinegar,Worcester.sauce,Tomato.ketchup,Mayonnaise...mayonnaise.flavor.seasoning,Dressing,Jam,Instant.curry.mix,Instant.dried.soup,Soup.stock,X.Furikake...granular.flavor.seasonings,X.Tsuyu.....Tare...liquid.seasonings,Other.seasonings,X.Yokan...sweet.bean.jelly,X.Manju...bean.jam.cakes,Other.fresh.Japanese.cakes,X.Kasutera...sponge.cakes,Cakes,Jelly,Puddings,Other.fresh.cakes,X.Senbei...Japanese.crackers,Biscuits,Fried...salted.snack.crackers,Candies,Chocolate,Chocolate.snacks,Ice.cream...ice.sherbet,Other.cakes...candies,Packed.lunch,X.Sushi...packed.,X.Onigiri...others,Bread.like.sandwiches.put.cooked.food.between.bread,Other.cooked.food.with.rice..bread.or.noodles,X.Kabayaki...broiled.eels,Salad,Croquettes,Cutlets,Fried.food,Shao.mais,Jiao.zi,X.Yakitori...grilled.chickens,Hamburg.steak,Frozen.food,Food.stuff.for.cooking,Others.in..Other.cooked.food.,Green.tea,Black.tea,Other.tea.leaves,Tea.beverages,Coffee,Coffee.beverages,Cocoa...cocoa.beverages,Fruits...vegetable.juice,Carbonated.beverages,Fermented.lactic.beverages,Lactic.beverages,Mineral.water,Sports.drinks,Other.in..Other.beverages.,X.Sake.,X.Shochu...distilled.spirits,Beer,Whisky,Wine,Low.malt.beer...beer.flavored.alcoholic.beverages,X.Chu.hi...liquor.with.soda...fruit....cacktail,Other.alcoholic.beverages,X.Soba....Udon...Japanese.noodles,Chinese.noodles.1,Other.noodles.1,X.Sushi...eating.out,Japanese.meals,Chinese.meals,Western.meals,Broiled.meat,Hamburgers,Other.meals,Other.refreshments,Drinking,School.lunch
SAITAMA,1117566,20549.33333,10502,24304.66667,3737,2061.666667,1641.666667,4971.666667,5312.666667,2191.333333,850.6666667,625.6666667,1623.666667,3831.666667,7030,867.3333333,335.3333333,1554.333333,603.6666667,5592.666667,778.6666667,360.6666667,841.6666667,2494,1537.666667,1254,2542,1123.333333,6441,3830,499.3333333,356.6666667,572.3333333,815.6666667,369.3333333,2211,2112.333333,1891.333333,841.6666667,6156.333333,1700.666667,1412.333333,2651.666667,1793.333333,754.6666667,3348.666667,749.3333333,3229.666667,3494.666667,18637.66667,37104,18184,3086.333333,2778.666667,4804.666667,7724.666667,2903,3123.666667,15648,1027,15347.66667,1474.666667,8603.666667,823.6666667,11099.66667,2791,2097.666667,1099.666667,3787.333333,2916,2844,993,7397,1109.333333,2983.666667,731.3333333,1793.333333,2991,979.6666667,4229.333333,1127.333333,785.6666667,3516,2473.333333,1907.333333,3828.666667,2506.333333,9964.333333,2910.333333,2049.666667,1721,1141.666667,2927.333333,6106.333333,357.6666667,284.3333333,3113,1589.333333,634,2869.333333,5395.333333,2877.333333,4955,990.3333333,1668.666667,1684.666667,884,635,5945.666667,1002,311,2782.666667,4013,4508,608.6666667,2396.666667,1926,3288,835,1069.333333,1511,1327,4849.666667,5141.333333,2815.333333,5383.333333,4547,4855.666667,526,438.6666667,1612.666667,2260.666667,874.6666667,747.6666667,744.6666667,729.3333333,1326.333333,2639,1516,1352.666667,4604.666667,2635,1709.333333,5346.333333,15753.66667,691,699.3333333,9020,939.6666667,9268.333333,2281.333333,2226.666667,11528.33333,6543.333333,5261.333333,6301.333333,2392.666667,8084,2659.666667,13412.33333,25652,22273.66667,15383.33333,7309.666667,8129.333333,23183.33333,3000,7561,1878.666667,2115.666667,12469.66667,1326.666667,2298.666667,3478,1856.333333,11147,5932,40486,3191.666667,1249,1879,9925.333333,7644.333333,5499.666667,429.3333333,8455,8991.333333,5319.333333,2795.333333,4974,1460.333333,9072.333333,5131.666667,4898.666667,12559.66667,2312,5261.333333,10569.66667,7091,1520.333333,6974,8121.666667,3287.666667,15223.66667,23932.66667,3947,11988,8938.666667,7400.333333,70563.33333,10325.66667,16269.33333,13270.66667
CHIBA,1092271.667,20072.66667,11200,24521.66667,3600.333333,2192.666667,1519,4547.666667,5221.666667,1957,848.6666667,612.6666667,1759,3615.333333,7355.333333,1192.666667,554.6666667,1813,836,5907.666667,840.6666667,413.6666667,1118,3020.666667,1688.666667,1100.333333,2776.666667,1400.333333,6490.333333,4769,596.6666667,387.3333333,861.6666667,1222,534,2261.666667,2084,1940,1007.333333,7108.333333,2149,1601.666667,3532.666667,1997.333333,929.3333333,3762,1112.666667,3001.333333,3553.666667,20853.66667,32788.33333,16805.33333,2259,2234.333333,5204.333333,7639.333333,2907.666667,3001.666667,17053,594,15737.33333,1544,7854,734.3333333,11619,2913,2280.333333,1171,3936.666667,2939,2577.666667,875.3333333,7979,1248.666667,3063.666667,926.6666667,1858.666667,2653.333333,1023.333333,4414,1181.666667,1045.666667,3989.666667,2813,1974,4074.666667,2807.333333,10589,2727,2137.666667,1816.333333,1075,2602.666667,6072.333333,511.3333333,467.6666667,3430.333333,1896.666667,735,3094.333333,5313.666667,2946,4949.666667,981.3333333,1675.333333,1410.666667,1162.666667,690,6430.666667,1164.666667,404.3333333,2611.333333,5612.333333,4390,701.3333333,3097.333333,4044.333333,3331,1473.666667,1172,1789,1552.666667,4507.666667,5793.666667,3219,5834.333333,4450.333333,4840,576.6666667,426,1575,2321,985.3333333,822,700.3333333,716,1372,2568.333333,1673,1285,4424,2827,1551.333333,5018,15537,1060.333333,696,9496.666667,995.3333333,9131.666667,2339,1962.666667,11013,7150,4936.333333,4856,2089.333333,7102.666667,1884.666667,10737,23767,23849.33333,16709,6152.666667,8738.666667,21252,2808.333333,8012,1959.666667,2417.333333,12158.33333,1201,2524,3263.666667,1586.666667,13302.33333,1646.333333,39758,4238.333333,1161.333333,1641.666667,10053.33333,7617.333333,5070.333333,380.6666667,7759,7803,4847.333333,2661.333333,4522.333333,1929,9490,5988.666667,5448,11961.33333,3030.666667,6175,9184,5186.666667,1421,5299,7095.666667,3008,14276.33333,21728.33333,5821.333333,12253.33333,6211.333333,7074.666667,60425.33333,8345.333333,11608.66667,8748
TOKYO,1158785.333,19396,11734,24302,3296.666667,2234.333333,1722.333333,4941.666667,4796.666667,2060,970.3333333,609,1853.666667,3981.666667,7787.666667,1110.333333,430.6666667,1753.333333,682,5624,714.6666667,496.6666667,1140.333333,2902,1715,1366.666667,3021.666667,1246.666667,7443,5169.666667,685.3333333,382.6666667,986,1449.666667,470,2031,2427,2152.666667,830,6584,2117,1461,2942.333333,1838,783.3333333,3826.666667,888.3333333,3095.333333,3843,23825.66667,36540.66667,19083,3253.333333,2865,5755.666667,7278,3079.333333,3468.666667,16319.66667,862.3333333,14657.66667,1720,9368,888,10907.66667,3049.333333,2321.666667,1281,4143.666667,3211.333333,2829.333333,1093.666667,9276,1252,3086.333333,887,1980.666667,2732.333333,957,4292,1169.666667,946,4067.333333,3104.666667,1887,3965.666667,2622,10298.33333,2998,2027,1676,1157,3079.666667,6727.666667,392.6666667,422.3333333,3247,1623.666667,735.3333333,3097.666667,5477.333333,3007,4501,872.3333333,1770.666667,1832,1075.333333,638.6666667,5808.333333,1068.666667,339,2773.666667,4462,4807.666667,653.3333333,2839,1856.666667,3575,1212,1241.333333,1803,1034.666667,4187.333333,4962,2519.666667,6572,4893,5037.666667,570.3333333,500,1608.333333,2137,919,839.6666667,705.6666667,717.3333333,1365.333333,2398.666667,1691.666667,1194.333333,4379,3031,1502.333333,5243.333333,16514.33333,1224.666667,537,9415,956,8936,2243,1897.666667,11677.66667,6728.333333,5569.333333,5693.666667,2268.333333,7216.666667,2323.666667,11386.33333,23079,23106.33333,15982.33333,5973.666667,9084.333333,21319.33333,3281.333333,8061.333333,2073,2398.666667,12892.66667,1577.333333,2126.666667,3412,1615,9914,4353.666667,47679.66667,4019.666667,1246,1802.333333,8740.333333,8782.333333,5078,350,7604,7825.666667,5441.666667,2862.333333,5108,1263.333333,9227.666667,6070.333333,6152,14301,3465.666667,8266.333333,8283.666667,5934.333333,2089.333333,6148,7423.666667,3415.333333,16173.66667,25334.66667,6738.333333,14794.33333,7813.666667,6314.666667,77982,11597.66667,21039.33333,7151.666667
KANAGAWA,1087765,20849,11329.33333,22719.66667,3460.333333,2627.333333,1689,4948.333333,5094,2167.333333,1097.333333,613,1666.666667,4129,7801,1176.666667,415.3333333,1427.333333,565.3333333,5125,715.3333333,440.3333333,1099,3011.666667,1581,1247,3043.666667,1418,7006.666667,5068.666667,523.6666667,315.3333333,928,1275.333333,601.3333333,2094.666667,2223.333333,2097,1021,6815.666667,2232,1509.666667,3243,1876,992.6666667,3287,852.3333333,2940.666667,3550.666667,23118.33333,35808.33333,17727,3262.666667,2433.333333,6186.333333,7498.333333,2924.666667,3096.333333,15566.33333,705.3333333,13930.66667,1540.666667,8218.666667,1051.333333,11118.33333,3164,2309.333333,1241,4091.666667,2995,3026,1036.666667,8801.333333,1239,3406,944,1882.333333,2908.666667,1023,4614.666667,1179,950,3992.666667,3000,2078,4116.666667,2878,9715.333333,2971,1991.666667,1712.666667,1100.333333,2798,6311.666667,401,454.3333333,3232.333333,1699.666667,698.6666667,3318,5128.666667,2651,4572,918.3333333,1603,1631.333333,1097.666667,737.6666667,5837.666667,1251.333333,391,2598.333333,4180.666667,4530.333333,728.3333333,2489.666667,1791.666667,3030,1026.666667,935,1392.666667,933.6666667,4311.666667,4756.333333,2651,6381,5340.333333,5024,645,446.3333333,1695.666667,2165,1012,871.3333333,751,753.6666667,1497.333333,2512,1499.666667,1346.333333,4443.666667,2893.666667,1456.666667,4906,16098.33333,721.6666667,622,9127,963.6666667,8534,2188.666667,2068.666667,11352.66667,6840,5486.333333,5748.333333,2158.333333,7196,2058,10688,23975.66667,21257.66667,14508,5807,7688.333333,20274.66667,2433.333333,6998.666667,2204.333333,2281.666667,12260,2428.333333,1747,3232.333333,1347.333333,10891,4013,39129,4465.333333,1261.666667,1653.666667,9107,7463.666667,4195.333333,466.6666667,7677.333333,7807.333333,4382,2563,4922.666667,1353.666667,8577.333333,5898.333333,6394,12012,2914.666667,7512.333333,8589,4403.333333,1531,5430,6467.666667,2650.333333,14973.33333,24726.66667,7443.666667,15535.66667,6534.333333,5448,58439.33333,10076.33333,13086,7274.333333
NIGATA,1024876.667,26223.66667,11136.66667,23014,2799.666667,3044.333333,1664.666667,5184.666667,6975.333333,2592,597.6666667,589.3333333,2159.333333,2978.333333,3531.333333,699.6666667,331,1095.666667,1409.666667,6380.666667,606.6666667,429.3333333,570.3333333,2766.333333,1990.333333,970,2742,1233.666667,5327.333333,4239.333333,537,364.3333333,628.6666667,1171.666667,613,5035.333333,2860,999.3333333,362.3333333,7609.666667,1838.666667,1609.666667,3178.333333,1503.333333,576,4902,582.6666667,3937.666667,3481.666667,11293,37344.33333,16036,1484.333333,2389.333333,4773,8071,3076.333333,3575.666667,14716,642.6666667,14658,1253,7421,494,11876.66667,3239,2370,1300.333333,3464,2528,2956.333333,1253,7969,1312,3663,1424.333333,1904.333333,2937.333333,1130.666667,4130,1625.666667,1083,3389,5344.666667,1756.333333,3883.333333,2744.333333,9787,2479.666667,2109.666667,2136.666667,1724.666667,3282,5370,480.6666667,593.3333333,2942.333333,1548.666667,730.3333333,3183.333333,5225,3658.666667,5351,739.6666667,2041.333333,881,1201.333333,485.6666667,5635.666667,1464.333333,303,2720.666667,5644.666667,5360.666667,610,2312.666667,2827.666667,2799,671,1384,2326.333333,967.6666667,4524,5747,2347,3808,3253.333333,4835,609.6666667,580,1782.666667,2955.333333,1232,707,710,798.3333333,1727.333333,2099.333333,1240.333333,1668.333333,4184.666667,2840,2141.666667,5463,14709.33333,740.6666667,997.3333333,9581,646.3333333,7963.333333,2665,1897.666667,10057.33333,6634.333333,5046.666667,6151.666667,1990,7067.333333,2247.666667,11089,20188,13978.33333,15569.33333,5217.666667,6966,17987,1582.666667,7809,2412.333333,2664,16023,990.6666667,1777.666667,2569.666667,1494,12964.66667,4571.666667,34533.66667,3316,764.6666667,1711,8497.666667,8093.666667,4750.333333,410,6308.333333,8035,6280,2537.666667,3307,1627.666667,7215,8394.333333,5609.666667,14707,3282.333333,4915.333333,13307.33333,7077.333333,1423.666667,5807.666667,13843.66667,3627,14458.33333,17222.33333,3154,7076.333333,5248.333333,5181.666667,30847,5839,8877.333333,11514.66667
TOYAMA,1070998,24714.66667,11357.33333,21859.33333,3642,3260,1299.666667,5162.666667,6174.666667,2524.666667,531.6666667,603,2785.666667,3012.666667,4442.333333,1434.333333,500.6666667,1209.333333,910,5690,1059,318.6666667,748.6666667,6744.666667,2934,924,3516.333333,1237.333333,8069,5237.333333,333,404,634.6666667,927,590.6666667,3172,2322.333333,1238.666667,383.3333333,6709,2099.666667,1606.333333,5130.333333,1670.666667,562.6666667,7296,942,2427,3573.333333,18174,32013,14888,3739,2278,5241.666667,8761,2715.333333,2902,14763.66667,481.6666667,14858.66667,1145.666667,6879.333333,692.3333333,9636.333333,2986.333333,2487.666667,1405.333333,3187,2456.666667,2784.666667,1056.333333,7104.333333,1184.333333,3363.333333,1105,1627.333333,2789.333333,980,3950.666667,1068.333333,783,3399,1458,1834.333333,3461.666667,2510.333333,9324.666667,2162.666667,2309,1897.666667,1614.333333,3353.666667,3259.333333,601.6666667,395,3042.666667,1323.666667,1594,3015,5499.333333,4239.666667,5738.666667,911.3333333,1507.666667,1538,1479.333333,733,5300,1714.666667,343,2615.333333,5056.666667,4215.333333,1175.666667,2198.333333,3897.333333,3128.333333,597.3333333,825.6666667,1821.666667,833.6666667,3062,5688.333333,2351.666667,4557.333333,4355.666667,4713.333333,673,407,1733.333333,2285.666667,994.6666667,740,680.6666667,627,1496.666667,2040.666667,1304.333333,1392.333333,4028,2769.666667,2579.666667,5473.333333,13896.33333,890.3333333,861.6666667,11637.33333,818.6666667,8027.333333,2618.666667,1847.333333,11471.33333,7771.333333,5384,6218.666667,2324.666667,7756.666667,2624,11262.33333,18106.33333,13377.66667,17846.66667,4569,7045,18648.66667,2622,8017,2965.666667,3461.666667,16413.66667,891.3333333,1964,2981,1376.333333,14539,10708,40314.66667,2327.333333,627.3333333,1643,10333,7717.666667,6521.333333,434.3333333,9088.666667,7824,5099.333333,2944,3123.333333,1902,9562,7358.333333,5802.333333,14110,3015.666667,4428,10866,6214,1260.333333,7184.666667,9112.666667,2515.666667,17452.66667,28885.66667,5184,13557.66667,8464.333333,5688.333333,28580,6713.333333,14003.33333,10900.33333
ISHIKAWA,1067957.333,23811,11923.33333,23309.33333,3973.666667,2219,1417.333333,5090.333333,5458.333333,2187.666667,646.6666667,675.3333333,3065,3304.666667,3165,1479.333333,799.6666667,981.6666667,1671.333333,4603,1132,315.3333333,1050.333333,5443.666667,2282.333333,1043,3209,3734.333333,8394.666667,4055.333333,426.3333333,361,813,790,451.3333333,2207,1792,1112,311.3333333,5754.333333,1885,1662.333333,3440.333333,1366,569.3333333,4592,1106.666667,2516.333333,3275.333333,23612.66667,34572,17040.33333,4325,2730,5078.666667,8283.666667,2611.333333,2971.333333,15735,885,12185.33333,1536,7883,819.3333333,10706.66667,2612,2379.666667,1306.666667,3348.666667,2296.666667,2618.333333,1066.333333,7030,1454.333333,3109.333333,680.6666667,1626.333333,2705.666667,880.3333333,3773.666667,1681.666667,688.3333333,3014.333333,1799.666667,1824.333333,3504.666667,2534,8761.333333,2297.666667,2124.333333,1590.333333,1437.666667,3022,3365.666667,365,257.3333333,3175.333333,1294.666667,1046.333333,3418.333333,5110,4252.666667,4727,894.3333333,1612.333333,1102.333333,1297.333333,592.3333333,4933,1400,507.6666667,2316.333333,4776,4653,736,2117.666667,2285,4084,949,1031.333333,1815,757.6666667,3291,5526.666667,2236.666667,4415.666667,3909.666667,4901.666667,603,492.6666667,1753,1996,1063.333333,575.6666667,610.6666667,735.3333333,1609.666667,2086,1193,1545.666667,4217.333333,2594,2125,5776.666667,14586.66667,736,1265,14022.33333,891.6666667,9369.666667,2327.666667,2057.333333,12775.66667,6618.333333,5221.666667,7513.666667,2598.666667,7751,2984.666667,13208.66667,20834.66667,13448.33333,17114.33333,5278.333333,6814,17524,3369,5024.666667,2614.333333,2547.666667,13541.33333,764.3333333,1942,3274.666667,1317.666667,12412.66667,6259.666667,38046.66667,2892,643.3333333,1742.666667,7981,8626.666667,5046.666667,481.6666667,7341.666667,7240.333333,7930,2648.333333,2758.333333,1846.666667,8575.666667,7272.333333,4683.666667,11764.66667,2090.666667,3761.333333,8809.666667,5991,1516.666667,7064.666667,8624.666667,2119,22801.66667,29170.33333,4769.333333,12989,9260,5070.333333,36054.33333,8484,11098.33333,17600
FUKUI,941113.3333,25272.33333,9024,21741.33333,3796,2432,1136,4158.666667,4638,1954.333333,361.6666667,504.3333333,2786,2429.333333,2443.333333,805.3333333,481.3333333,866.3333333,1484.666667,4443.666667,912,198,567.6666667,4067.666667,2201.333333,1286,2193,3220.666667,5872.666667,6274.666667,353,316.6666667,438.6666667,642.6666667,310.3333333,1895,1853.666667,1799,312,6048.666667,2029.333333,2000,3135.666667,1714.666667,733,2722.333333,834.3333333,2143,3260.666667,23301.66667,27611.33333,15975.66667,3426.333333,3197.333333,5011.666667,7803,2267,4148.333333,14991.66667,399.3333333,12607,1017,5283,625.6666667,11282.66667,2420.333333,2485.666667,1130.333333,2722,2156.333333,2313.666667,928,5588,1269.666667,3211.666667,1524,1505.333333,2237.333333,728.3333333,3499.666667,785,551,3190,1160,1397.333333,3467.333333,2265.666667,8691.666667,1650.666667,1945.666667,1664.333333,1349.333333,2106,2898.666667,558.3333333,267.6666667,2711.666667,1816,1454.333333,2828.333333,5027,5593,4315.666667,827.6666667,1667.666667,1241,1010.333333,439.3333333,5082,1947,445.6666667,1895.333333,3980.666667,5119.666667,439.6666667,1929,1866.333333,2680.333333,676.6666667,564,1382,777.3333333,2806.666667,5222.333333,2383.666667,3778,3339.666667,3762,642.3333333,498.6666667,1543.666667,2048,1007,856.3333333,683.6666667,626.3333333,1572.666667,1823,829,1322.666667,2850.333333,2367.333333,2216.666667,4487,11169,1465.666667,616.6666667,11110,667.3333333,6734.333333,1910.333333,1584.333333,8105,7634,4246,6158,2045.666667,6069,2497.666667,10205.66667,19000.66667,11765.33333,15649.66667,4722.333333,5252.666667,14428.66667,1685,6256.666667,3215.666667,4038.666667,17455.66667,830.3333333,2053.333333,3834.333333,1703,9378.666667,4708.333333,43665,2375,459,1389,6448,6664.333333,5612,297.6666667,6362.666667,5937.333333,5812.666667,2081.666667,2678,1365.333333,6914.666667,6344.666667,4683.666667,11588.66667,2052.666667,1983,7336.333333,4234.333333,1105.333333,5391,7148.333333,1356.666667,15458.66667,22116.33333,3209.666667,8362,8399.666667,4056.666667,31760,5378.666667,8222,13567.66667
YAMANASHI,958026,21108.33333,8988.666667,21657,4144.333333,1788.666667,1297.666667,4794,5814.333333,1913,628.3333333,528.3333333,1821,3099.333333,8291,808.6666667,151.6666667,985.6666667,510,4844,862.6666667,317.6666667,493.3333333,1640.666667,2048.333333,904.3333333,2583,1084,4495.666667,3254.666667,772.3333333,547,515.6666667,1195.666667,484.3333333,3133.333333,2419.666667,2536.333333,1138,6317.666667,1904,1964.333333,2876,1573,728.3333333,5113.333333,1109,2868.666667,4365,15231.33333,31962,14725.66667,2246,3037,4426.666667,7599.666667,2616,3101,12958,1377.333333,14750.66667,1106.333333,6341,739.3333333,10475.66667,2567.666667,1799.333333,1040.666667,3059.333333,2621.666667,2425,868.6666667,6162,1031.333333,2676.333333,786,1670.333333,2321.666667,929.3333333,3376.333333,1179.666667,616,3522,1603.666667,1617.333333,3988.666667,1758,7227.666667,1975.333333,1899.666667,1865,1086,2395.666667,4596,426,206.6666667,2647,1607,562,2573.333333,4477,2259.666667,5125,808,1471.666667,1209.666667,1184.333333,723,5787.333333,1258.333333,428.6666667,2188.666667,3327.333333,5114,525.3333333,2300,868,7205.666667,855.3333333,2574.666667,1204,618,3441.333333,5002,1559.666667,4409,3846,4503,644,427.6666667,1553,1917.333333,969,701.3333333,678,641.6666667,1480.333333,2416.333333,1315.666667,1301,3784.333333,2345.666667,1814.666667,5047,13523.66667,686,662,8769,775,6953,2239.666667,1988.333333,9714,4997.666667,4240,5872.666667,2260.333333,6214.333333,2353,10730.33333,20707.33333,18448.33333,16273.33333,5952,6859.333333,20159.33333,2112.666667,6903.666667,2290.333333,3051.666667,14043.66667,1305,2080.333333,3456,2008.333333,8737.333333,1973.333333,39927,3267.666667,805.3333333,1437,9236.666667,6853,4784.333333,352.3333333,7501.666667,7309.666667,5134.666667,3009,3207.666667,1690,9692.333333,5919,5541,8801,3418.666667,3673.666667,7245.666667,4347,1287.333333,5709,7322,2913.333333,13393.33333,21236.33333,3559.666667,9541.666667,4784,6054,34694.33333,7190.333333,6873.666667,8854
NAGANO,957054.6667,20808.66667,9001.666667,20664.33333,4589,2343,1406.333333,4773.666667,5606.666667,1999.666667,779,989.3333333,1706.666667,3045.666667,4785.666667,570.6666667,280,949.6666667,952.3333333,5288,749,479.3333333,631.3333333,2179.666667,1838.333333,871.6666667,2377,1098.333333,4940.666667,4671.333333,489.3333333,192.6666667,512.3333333,1073,231,3581.333333,2448.666667,1710,628.3333333,6295.666667,1891.666667,2198,3221,1543.333333,726.3333333,4711,1675.666667,3652,3481.333333,12267,30386.33333,12656,1874.333333,1709.666667,4827,7431.666667,2972.333333,2571.666667,15637.33333,324.6666667,13521.66667,1171.333333,7786.333333,633,10927,2797.333333,1726.333333,1083,2148,2082,2460.333333,810.3333333,7246.666667,1167.666667,2374.666667,757.6666667,1773.666667,2422.333333,888.6666667,3491.666667,1158,784,3589.333333,1504.666667,1710,3680.333333,1893.666667,7160.666667,2059,1760.666667,2065.333333,1645,3208.666667,4388,545,335,2465.333333,1944.333333,762.6666667,3095.333333,5024.666667,2810.666667,5702,1146,1766.333333,1377.666667,1093.666667,428.3333333,5133,1706.666667,495,2099,8741.666667,4003,406.3333333,2698.666667,910.6666667,4979.666667,520.6666667,2652.666667,1593.666667,687.3333333,3310,4921.666667,1556.666667,4271.333333,4223.666667,5179.333333,642.3333333,489.3333333,1638,2601,1282.333333,1039.666667,653,645,1650,2496.666667,1430.666667,1447,4429,2664,1761.666667,5183.333333,14838,1124,531.3333333,9206,772,7138,2274.666667,1574,7943.333333,6597.666667,3697.666667,5018.666667,2010.666667,6544,1841.666667,12064.33333,23152.33333,17198.66667,14388,5287,7694.666667,19217,2108.666667,5136.666667,1808.666667,2219,11657.66667,1180.666667,1956,2424.333333,1039,11791.66667,994.3333333,35095.66667,3470,655.6666667,1296.666667,7387,8102.666667,5272.666667,326.6666667,5856.333333,6299.666667,4274.666667,2372,3379.666667,1376,8842.666667,7191.666667,5315.333333,11763,2278.333333,3582.666667,8228.333333,4324,1463.666667,6496,8198.666667,2086.666667,14577,16445.66667,3344.666667,8951.666667,5791.666667,5140,39779.33333,5905.333333,10955.33333,12982.33333
GIFU,989958.6667,20925.66667,11047.66667,20389.66667,3461.666667,2010,1304.333333,4339.666667,4839,2071.666667,681.3333333,611.3333333,2311.666667,3559.666667,3934.333333,675.3333333,347.3333333,1083,713.3333333,5155.666667,833,398,1114.333333,2988,1730.666667,1051.666667,3160.333333,1609.666667,4462.333333,3917.333333,431.6666667,208.6666667,722.3333333,1050.333333,396.6666667,1773,1510.666667,1815.666667,528,5912.666667,1707,2021.666667,3228.333333,1861.333333,865.3333333,2768.666667,1485,3123.333333,3056.666667,21259.33333,29679.66667,15677,3149,2218,5743.333333,8093,2334.333333,2995,13579,742,14987.66667,1225,6444.333333,637,12568.66667,2265.333333,2101.666667,1084.666667,3231.333333,2099,2307,884,5560.666667,1121.333333,2590.666667,947.3333333,1490.333333,2209.333333,898,3570.333333,957.6666667,430.6666667,2681,1679.666667,1483.666667,3037.666667,1929,7920.333333,1921.333333,2286.333333,1570.333333,1365.666667,2236,3136.333333,551.6666667,484.3333333,2870,1119.333333,560.3333333,2948.666667,4986.333333,2743.666667,4268.666667,854.6666667,1498,1196,1118.333333,408.6666667,4664.666667,1449.333333,436.3333333,2189,4557.666667,4506.666667,435.3333333,1654.666667,1174.666667,3125.666667,2126,877.6666667,1333,544.3333333,3521.333333,5721,2244.666667,4459.666667,3523.666667,4416.333333,697.6666667,452,1807,1763.333333,1185,773.6666667,736.3333333,705,1519.666667,2216,1277.666667,1285.333333,4254.333333,2590.333333,2060.333333,5438,13432.66667,421,1038.333333,13137,654.3333333,8252,2437.666667,1907,10752.66667,6740,4826.666667,7586.666667,2651.666667,7569.666667,2399.666667,10327.66667,16841.66667,14617,14469,5301.333333,5255.666667,16632.33333,3048.666667,6062.333333,2141,2079.666667,12400.33333,881.6666667,1996,1587.333333,1595.333333,9874.333333,5690.666667,33599.33333,2607.333333,805.6666667,1509.666667,8874.333333,7386,6213.666667,352,7644,5846.333333,6618.666667,2345.333333,3285.333333,1649.333333,6757.666667,4201,4445.666667,9793.333333,1547.666667,3337.333333,7753,4835,980.6666667,7907.666667,7143.333333,2867,19751.66667,40231.66667,8220,17470,9043.333333,6168.666667,33168.66667,14400.33333,7212.333333,10522
